# INSTRUMENT_ID: 1
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 23.427083333333332
# DEC: 3.5434166666666664
# OBS_DATE: 2024-06-27 11:23:19.170000+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 165244
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3853.193,2.86804e+00,1.64140e-01
3855.727,2.89993e+00,1.62411e-01
3858.261,2.87862e+00,1.63581e-01
3860.794,2.92165e+00,1.70459e-01
3863.328,3.02463e+00,1.75833e-01
3865.862,2.72858e+00,1.66095e-01
3868.396,2.87524e+00,1.58943e-01
3870.929,3.24748e+00,1.61267e-01
3873.463,2.89104e+00,1.74207e-01
3875.997,3.15131e+00,1.78718e-01
3878.531,3.21228e+00,1.64568e-01
3881.064,3.45207e+00,1.57997e-01
3883.598,3.28504e+00,1.59832e-01
3886.132,3.15996e+00,1.70410e-01
3888.666,3.22661e+00,1.73584e-01
3891.200,3.05133e+00,1.68838e-01
3893.733,2.86310e+00,1.65625e-01
3896.267,3.09902e+00,1.67203e-01
3898.801,3.68401e+00,1.79743e-01
3901.335,3.22623e+00,1.84579e-01
3903.868,3.04174e+00,1.77045e-01
3906.402,3.22384e+00,1.69595e-01
3908.936,3.40663e+00,1.73206e-01
3911.470,3.31634e+00,1.88890e-01
3914.003,3.31966e+00,2.07480e-01
3916.537,3.32092e+00,1.94506e-01
3919.071,3.17814e+00,1.62910e-01
3921.605,3.05084e+00,1.50218e-01
3924.138,3.51371e+00,1.51779e-01
3926.672,3.40269e+00,1.54791e-01
3929.206,3.50141e+00,1.47032e-01
3931.740,3.10809e+00,1.25498e-01
3934.274,3.03588e+00,1.16474e-01
3936.807,3.22070e+00,1.22205e-01
3939.341,3.34757e+00,1.40406e-01
3941.875,3.35630e+00,1.52070e-01
3944.409,3.06620e+00,1.50965e-01
3946.942,3.25034e+00,1.47148e-01
3949.476,3.19386e+00,1.48315e-01
3952.010,3.16595e+00,1.54683e-01
3954.544,3.36077e+00,1.66272e-01
3957.077,3.28922e+00,1.62962e-01
3959.611,3.23787e+00,1.46704e-01
3962.145,3.05672e+00,1.34591e-01
3964.679,3.08078e+00,1.26457e-01
3967.212,3.05914e+00,1.25534e-01
3969.746,3.04120e+00,1.25271e-01
3972.280,3.11884e+00,1.26483e-01
